is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
True,1367,7,2,1,31,35,17,69904,50310,559,38,6835,False,4,0,49,28692,29889,44082,405
False,1367,0,1,0,17,24,32,64417,38583,474,90,6835,False,3,0,40,23296,27815,44322,383
True,2158,8,3,0,39,68,29,153917,71934,779,114,10790,False,7,0,95,26645,34913,49065,421
False,2158,3,3,2,29,39,39,131576,70140,795,140,10790,False,3,0,107,24988,34531,50693,370
False,1291,1,1,0,19,17,28,49949,37182,460,59,6455,False,2,0,39,24569,30573,42715,350
True,1291,4,2,0,28,48,19,68673,43467,475,87,6455,False,5,0,46,24057,29489,35724,402
False,1344,2,1,0,17,22,22,56544,41389,554,67,6720,False,4,0,40,27385,32012,39681,426
True,1344,6,1,1,21,20,17,56731,48091,588,76,6720,False,3,0,60,27154,25828,45918,443
False,1329,1,0,0,15,18,34,56350,37635,467,71,6645,False,3,0,44,25280,30678,50835,408
True,1329,9,3,0,34,44,15,90042,49689,536,77,6645,False,3,0,38,25779,37515,41900,406
False,1678,2,1,0,24,30,35,86168,49930,602,102,8390,False,4,0,56,24016,25272,37088,406
True,1678,10,3,1,35,51,24,117904,59291,562,107,8390,False,4,0,61,24189,25514,44453,423
True,1745,9,4,1,21,38,14,93530,58303,713,87,8725,False,5,0,74,23233,28044,45633,411
False,1745,4,0,0,14,17,21,88816,49958,658,74,8725,False,4,0,70,24903,34691,42777,411
True,1725,9,2,1,43,64,27,142526,62723,548,151,8625,False,6,0,47,25358,29384,46667,354
False,1725,4,2,0,27,43,43,100651,52295,588,142,8625,False,2,0,54,26340,32546,45405,402
True,1629,10,2,1,38,41,22,93660,60174,654,171,8145,False,5,0,41,25651,28744,36551,401
False,1629,2,1,0,22,23,38,77494,52666,634,98,8145,False,3,0,55,25424,23967,42440,434
False,1885,2,2,0,35,66,49,125652,57421,596,185,9425,False,3,0,70,25104,32227,39780,347
True,1885,10,1,1,49,91,35,125109,70213,644,173,9425,False,4,0,82,26856,30241,44754,406
False,1563,2,0,0,20,34,46,62757,46549,513,78,7815,False,2,0,47,24995,28762,48695,309
True,1563,11,4,1,46,71,20,97600,63119,599,122,7815,False,4,0,43,32698,38651,42279,399
False,1143,0,0,0,12,20,34,42238,31806,382,62,5715,False,3,0,34,23277,25420,46598,347
True,1143,8,2,0,34,38,12,63884,45680,412,95,5715,False,3,0,38,32607,37464,43023,405
True,1206,2,1,0,28,44,26,74600,40431,430,91,6030,False,3,0,48,26762,41137,50511,397
False,1206,1,1,0,26,23,28,55524,38419,380,89,6030,False,2,0,34,26566,33764,54722,327
False,1516,0,1,0,17,14,40,73412,42902,568,64,7580,False,2,0,42,24760,27864,43102,403
True,1516,9,3,1,40,42,17,86265,59629,629,193,7580,False,5,0,51,28625,29080,44297,441
False,1183,2,0,0,13,12,23,50437,34789,436,80,5915,False,0,0,35,23669,30086,44379,385
True,1183,5,1,0,23,26,13,51645,40227,470,82,5915,False,6,0,33,26791,28954,44408,413
True,1430,9,1,0,27,30,19,73517,52862,561,114,7150,False,4,0,40,27629,25274,42384,403
False,1430,1,2,0,19,27,27,63218,40520,525,50,7150,False,2,0,34,22942,23800,37833,337
True,2005,11,3,1,51,62,27,140192,72163,735,122,10025,False,5,0,51,27006,32148,45770,329
False,2005,3,1,0,26,24,51,154974,63104,858,135,10025,False,4,0,70,26593,34600,44500,424
True,939,2,2,0,20,22,7,40379,31766,371,58,4695,False,3,0,28,29009,33166,43404,444
False,939,0,0,0,7,11,20,31769,24009,290,56,4695,False,1,0,37,21457,25037,45807,331
False,1733,1,1,0,22,24,45,79947,49522,600,96,8665,False,4,0,52,22535,22042,49517,404
