match_id,team_id,is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
NA1_5135511196,100,False,1301,0,1,0,17,16,18,44520,36237,436,47,6505,False,5,0,37,23036,23181,34536,350
NA1_5135511196,200,True,1301,6,2,0,18,15,17,48712,40021,461,45,6505,False,1,0,29,23938,24879,36840,367
NA1_5133623810,100,True,1642,8,2,0,33,48,17,94592,55430,606,99,8210,False,4,0,52,23922,25391,31494,379
NA1_5133623810,200,False,1642,2,1,0,17,26,33,79060,46512,582,118,8210,False,3,0,53,22102,22379,39876,392
NA1_5133273220,100,True,2493,11,3,0,53,83,55,164212,81980,693,140,12465,False,2,0,74,25021,24947,38713,350
NA1_5133273220,200,False,2493,6,3,2,55,112,53,176147,81815,680,251,12465,False,8,0,61,20483,20007,37121,299
NA1_5174205116,100,True,107,0,0,0,2,3,0,2026,3459,1,1,535,True,0,0,3,0,0,0,0
NA1_5174205116,200,False,107,0,0,0,0,0,2,1178,2505,0,0,535,True,0,0,3,0,0,0,0
NA1_5174087736,100,True,2318,10,2,0,36,42,38,140623,69736,724,225,11590,False,5,0,64,22423,23164,43539,358
NA1_5174087736,200,False,2318,8,3,1,38,36,36,144090,67283,669,207,11590,False,5,0,64,22087,29978,36881,351
NA1_5155236094,100,True,1588,8,4,1,33,42,13,103705,53713,531,180,7940,False,4,0,51,23417,27885,43693,388
NA1_5155236094,200,False,1588,0,0,0,13,14,33,83467,38928,481,107,7940,False,2,0,42,21366,26154,40518,353
NA1_5154966261,100,True,2453,10,5,3,48,86,36,173807,85433,750,191,12265,False,3,0,72,21062,20503,41490,330
NA1_5154966261,200,False,2453,9,1,0,36,37,48,156922,75698,873,268,12265,False,6,0,58,24751,27979,33321,398
NA1_5154885294,100,True,3078,11,4,1,57,71,54,206859,93992,882,221,15390,False,7,0,84,21856,23423,37151,334
NA1_5154885294,200,False,3078,8,3,1,54,76,57,194335,92314,938,199,15390,False,5,0,75,23785,24413,28982,360
NA1_5176536472,100,False,1145,1,0,0,8,6,16,38541,29558,399,49,5725,False,3,0,28,21398,25260,34907,369
NA1_5176536472,200,True,1145,4,1,0,16,6,8,38729,34806,367,89,5725,False,3,0,38,23197,22396,39593,328
NA1_5173562838,100,False,1235,1,0,0,4,3,19,38898,29441,417,45,6175,False,3,0,34,21224,19888,33829,379
NA1_5173562838,200,True,1235,3,3,0,19,21,4,48873,37035,372,36,6175,False,3,0,35,22516,20843,31698,335
NA1_5173407481,100,True,1511,8,3,0,33,51,22,85800,50128,496,87,7555,False,0,0,48,22042,18786,38546,353
NA1_5173407481,200,False,1511,4,0,0,21,23,33,63893,47127,473,91,7555,False,6,0,37,25809,24342,39646,411
NA1_5173376685,100,True,1505,9,2,0,29,35,24,67797,51088,492,82,7525,False,6,0,46,23325,21746,39435,378
NA1_5173376685,200,False,1505,1,1,0,24,29,29,67528,42235,432,93,7525,False,2,0,38,22826,26803,32587,293
NA1_5173315584,100,True,1416,5,2,0,30,25,15,79609,45092,457,138,7080,False,3,0,43,22715,25596,34274,388
NA1_5173315584,200,False,1416,0,1,0,15,17,30,61521,33707,319,73,7080,False,5,0,33,20430,22219,39112,293
NA1_5146338068,100,False,2639,9,4,0,19,29,31,165345,70215,817,184,13195,False,4,0,105,20743,17079,34058,375
NA1_5146338068,200,True,2639,8,2,1,31,57,19,150698,73263,769,240,13195,False,3,0,40,19690,13951,27544,342
NA1_5146316404,100,False,1948,4,1,0,29,37,50,106029,52414,457,151,9740,False,5,0,39,19033,23691,45959,226
NA1_5146316404,200,True,1948,10,3,0,50,50,29,134914,61659,537,108,9740,False,4,0,57,24092,33320,38785,309
NA1_5146301350,100,False,1464,0,0,0,16,15,33,54649,38136,422,103,7320,False,2,0,31,21138,21194,37858,317
NA1_5146301350,200,True,1464,10,3,1,33,28,16,81839,50084,497,64,7320,False,3,0,46,22876,25424,33690,334
NA1_5146251367,100,False,1738,4,2,0,21,24,38,85824,49475,476,111,8690,False,2,0,60,21763,25974,37213,282
NA1_5146251367,200,True,1738,9,2,1,38,35,21,106128,57593,535,97,8690,False,4,0,47,23988,26813,37169,357
NA1_5146240542,100,False,1221,0,0,0,2,2,23,36290,24933,309,43,6105,False,5,0,21,18264,19474,41640,318
NA1_5146240542,200,True,1221,9,3,0,23,17,2,60547,40280,426,66,6105,False,1,0,37,23577,27810,33140,366
NA1_5150801985,100,True,1676,8,2,1,40,82,15,113389,57742,510,159,8380,False,3,0,53,23102,27724,35323,304
NA1_5150801985,200,False,1676,5,2,0,15,13,40,73778,48024,568,66,8380,False,5,0,42,23589,23709,39842,355
NA1_5134844726,100,False,2262,3,3,0,46,50,49,132845,71317,745,152,11310,False,3,0,66,23601,26138,41469,340
NA1_5134844726,200,True,2262,10,2,1,49,46,46,171187,78148,766,193,11310,False,8,0,69,23860,29984,38334,394
NA1_5134816742,100,False,2133,3,3,0,36,42,48,133989,63078,743,147,10665,False,1,0,64,26709,34075,50541,344
NA1_5134816742,200,True,2133,11,2,1,48,84,36,169969,78869,775,283,10665,False,8,0,53,28110,34107,46006,378
NA1_5134793488,100,True,910,2,2,0,29,29,3,45463,32639,306,88,4550,False,3,0,24,29462,36401,39405,364
NA1_5134793488,200,False,910,0,0,0,3,2,29,24758,18462,220,14,4550,False,0,0,16,17484,21293,47428,266
NA1_5134764334,100,False,2041,4,3,0,38,38,64,155169,65056,631,186,10205,False,1,0,55,22617,26407,42302,306
NA1_5134764334,200,True,2041,10,2,2,64,74,38,163114,73959,566,123,10205,False,8,0,61,28874,32960,39633,368
NA1_5177042026,100,False,2118,4,3,0,32,31,45,129593,59364,624,122,10590,False,5,0,67,21304,19288,34435,341
NA1_5177042026,200,True,2118,9,2,1,45,70,32,139337,70517,635,341,10590,False,2,0,61,22909,19762,33274,312
NA1_5177014903,100,True,1487,9,2,0,37,45,18,95185,47919,416,175,7435,False,2,0,38,23386,33648,37164,323
NA1_5177014903,200,False,1487,1,1,0,16,10,37,69838,36873,428,54,7435,False,2,0,36,19689,24227,42912,280
NA1_5176859988,100,True,1152,3,3,0,18,17,9,46641,36250,439,63,5760,False,3,0,36,24542,26143,38259,377
NA1_5176859988,200,False,1152,0,0,0,9,7,18,36789,29066,356,44,5760,False,1,0,36,21876,27984,39238,315
NA1_5176756127,100,False,2393,7,1,0,46,57,58,182019,70027,601,228,11965,False,4,0,67,21868,29470,39285,280
NA1_5176756127,200,True,2393,9,5,1,58,71,46,168168,82782,730,236,11965,False,6,0,59,25397,30085,43968,324
NA1_5176645453,100,True,1779,9,1,2,42,47,30,113773,61845,522,108,8895,False,4,0,57,23165,22744,35832,317
NA1_5176645453,200,False,1779,3,4,0,30,38,42,82318,52251,514,86,8895,False,1,0,46,23454,21621,35349,338
NA1_5175837026,100,False,2359,8,4,0,45,59,43,163757,70335,650,154,11795,False,6,0,72,23405,20866,33682,335
NA1_5175837026,200,True,2359,9,1,1,43,57,45,156006,75874,698,117,11795,False,4,0,86,20566,20369,35309,335
NA1_5175460468,100,True,2580,9,4,2,50,77,43,208828,83288,745,211,12900,False,5,0,82,22240,27741,38848,344
NA1_5175460468,200,False,2580,5,2,0,43,76,50,195192,75350,676,204,12900,False,5,0,84,24162,27438,45258,309
NA1_5174368176,100,True,915,2,2,0,14,14,7,29851,28031,298,43,4575,False,1,0,17,24511,27444,42898,341
NA1_5174368176,200,False,915,0,0,0,7,5,14,23799,24274,312,32,4575,False,3,0,22,22814,23404,44450,377
NA1_5174336245,100,False,1724,4,1,0,25,34,34,104815,50083,551,133,8620,False,2,0,59,23986,27542,41650,386
NA1_5174336245,200,True,1724,4,3,1,34,71,25,107618,55430,497,126,8620,False,5,0,58,23974,26977,43755,342
NA1_5174330016,100,True,105,0,0,0,0,0,0,807,2500,0,0,525,True,0,0,3,0,0,0,0
NA1_5174330016,200,False,105,0,0,0,0,0,0,228,2500,0,0,525,True,0,0,0,0,0,0,0
NA1_5172151958,100,True,2351,10,2,0,47,51,52,137184,75208,731,171,11755,False,6,0,63,22636,24108,39054,325
NA1_5172151958,200,False,2351,9,2,1,52,50,47,152173,77434,741,101,11755,False,6,0,74,22581,25035,37817,313
NA1_5169120257,100,False,2195,3,0,0,28,50,30,151221,60158,612,244,10975,False,3,0,58,19153,20083,33432,324
NA1_5169120257,200,True,2195,9,3,0,30,33,28,137958,65642,712,187,10975,False,6,0,44,22794,18212,33751,405
NA1_5169093763,100,False,2236,10,3,0,45,54,37,147726,73109,757,131,11180,False,8,0,62,27301,30763,42828,407
NA1_5169093763,200,True,2236,8,3,2,37,84,45,154537,75477,792,172,11180,False,2,0,50,22802,27687,41334,350
